run,day,blue_pop,red_pop,within_trust,between_trust,within_blue_trust,within_red_trust,total_spawned,total_consumed,z0_spawn,z1_spawn,z2_spawn,z3_spawn,z4_spawn,z0_cons,z1_cons,z2_cons,z3_cons,z4_cons,z0_blue_cons,z0_red_cons,z1_blue_cons,z1_red_cons,z2_blue_cons,z2_red_cons,z3_blue_cons,z3_red_cons,z4_blue_cons,z4_red_cons,blue_dead,red_dead,blue_born,red_born
4,1,50,50,0.5067346938775514,0.5,0.5084081632653065,0.5050612244897965,0,58,0,0,0,0,0,0,8,11,22,17,0,0,8,0,0,11,16,6,15,2,-50,-50,0,0
4,2,52,50,0.5149093791362708,0.5,0.5125942684766226,0.517224489795919,55,43,0,0,0,55,0,2,4,11,25,1,0,2,4,0,1,10,14,11,1,0,-51,-50,1,0
4,3,56,53,0.5152858933519319,0.5,0.5152597402597412,0.5153120464441225,55,38,0,0,0,55,0,16,0,0,22,0,0,16,0,0,0,0,21,1,0,0,-53,-51,2,2
4,4,57,55,0.5148612060454174,0.5,0.5149749373433593,0.5147474747474754,115,42,0,0,60,55,0,5,0,14,23,0,0,5,0,0,0,14,14,9,0,0,-53,-51,1,2
4,5,57,55,0.5153662565504679,0.5,0.5149749373433593,0.5157575757575764,95,46,0,0,0,55,40,4,0,8,25,9,0,4,0,0,8,0,13,12,0,9,-53,-51,0,0
4,6,59,55,0.5150091210173042,0.5,0.5142606662770319,0.5157575757575764,127,35,72,0,0,55,0,0,0,3,23,9,0,0,0,0,2,1,16,7,5,4,-54,-51,1,0
4,7,59,58,0.514208373065921,0.5,0.5142606662770319,0.5141560798548102,170,33,0,0,60,110,0,8,0,3,22,0,0,8,0,0,0,3,4,18,0,0,-54,-52,0,2
4,8,62,58,0.5139531253049205,0.5,0.5129032258064524,0.5150030248033886,125,37,0,70,0,55,0,3,0,8,26,0,0,3,0,0,0,8,14,12,0,0,-55,-52,2,0
4,9,63,58,0.5137483121968816,0.5,0.5124935995903745,0.5150030248033886,95,29,0,0,0,55,40,0,2,4,23,0,0,0,2,0,0,4,14,9,0,0,-55,-52,1,0
4,10,63,58,0.5137483121968816,0.5,0.5124935995903745,0.5150030248033886,259,52,144,0,60,55,0,5,0,9,25,13,5,0,0,0,4,5,4,21,9,4,-55,-52,0,0
