human_id_from_house_1,contribution_to_house1
0,110
1,30
2,120
3,60
4,20
10,20
11,0
12,30
13,20
14,0
20,0
21,0
22,10
23,10
24,0
29,0
30,10
31,0
32,0
33,0
39,0
40,0
41,10
42,0
43,0
44,0
45,0
46,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
119,0
120,10
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
215,0
216,0
217,0
218,0
219,0
220,0
221,10
222,0
223,0
224,10
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
477,0
478,0
479,0
480,0
486,0
487,0
490,0
