day,house,old_x,old_y,new_x,new_y,distance,storage_S,travel_D,food_F,P_move,inertia,population
2,Blue,10,30,10,28,2.0,0.012,1.0,0.0005668934240362812,0.6517627051487226,0.2,50
3,Red,89,30,87,29,2.23606797749979,0.022,1.0,0.0005668934240362812,0.5686997802715827,0.30000000000000004,50
4,Blue,10,28,10,26,2.0,0.0428,0.9245150355111168,0.0008820861678004535,0.7159716666599516,0.1,50
4,Red,87,29,85,28,2.23606797749979,0.022,0.2992703027829441,0.0012471655328798186,0.6821729761375263,0.0,50
5,Blue,10,26,10,24,2.0,0.0456,0.8035878429542889,0.0006689342403628118,0.7744916994107381,0.0,50
5,Red,85,28,83,27,2.23606797749979,0.022,1.0,0.0003401360544217687,0.8124973582076038,0.0,50
6,Blue,10,24,10,22,2.0,0.049,0.5545932744323396,0.00045351473922902497,0.7271451698477774,0.0,50
6,Red,83,27,81,26,2.23606797749979,0.022,0.3044,0.0006802721088435374,0.6835294287525608,0.0,50
7,Blue,10,22,12,22,2.0,0.0532,0.4996230683283918,0.00022675736961451248,0.7149136304858021,0.0,50
7,Red,81,26,79,26,2.0,0.116,1.0,0.0007528344671201814,0.7899284742772184,0.0,50
9,Red,79,26,77,26,2.0,0.119,0.7389874600704697,0.0003401360544217687,0.6683883272527428,0.1,50
10,Red,77,26,75,26,2.0,0.1196,0.595323412181244,0.00045351473922902497,0.7140255720231542,0.0,50
12,Red,75,26,73,26,2.0,0.1314,0.3344714862200761,0.0006802721088435374,0.5884660555117869,0.1,50
13,Blue,12,22,13,22,1.0,0.0718,0.44800310216782985,0.0011678004535147393,0.3490184878400404,0.5,50
14,Blue,13,22,12,22,1.0,0.0738,0.5871221091769212,0.000655328798185941,0.7261371453026295,0.0,50
15,Blue,12,22,12,22,0.0,0.0738,0.5270591913884004,0.0007936507936507937,0.7139756456584654,0.0,50
15,Red,73,26,71,26,2.0,0.1424,0.1935058007951268,0.0005306122448979592,0.4939800009562511,0.2,50
16,Blue,12,22,12,22,0.0,0.1718,1.0,0.0011587301587301588,0.7755609750334752,0.0,50
16,Red,71,26,69,25,2.23606797749979,0.1464,0.1861621602073881,0.0,0.6145697437245669,0.0,50
17,Red,69,25,67,25,2.0,0.1524,0.23523478053271352,0.00022675736961451248,0.6239108482566262,0.0,50
20,Blue,12,22,13,23,1.4142135623730951,0.1926,0.5574437487059408,0.0005804988662131519,0.4780681209266594,0.30000000000000004,55
20,Red,67,25,65,24,2.23606797749979,0.2276,1.0,0.0006802721088435374,0.6086645982076808,0.2,50
