zone_id,x,y
0,0,0
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,0,16
0,0,17
0,0,18
0,0,19
0,1,0
0,1,1
0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,11
0,1,12
0,1,13
0,1,14
0,1,15
0,1,16
0,1,17
0,1,18
0,1,19
0,2,0
0,2,1
0,2,2
0,2,3
0,2,4
0,2,5
0,2,6
0,2,7
0,2,8
0,2,9
0,2,10
0,2,11
0,2,12
0,2,13
0,2,14
0,2,15
0,2,16
0,2,17
0,2,18
0,2,19
0,3,0
0,3,1
0,3,2
0,3,3
0,3,4
0,3,5
0,3,6
0,3,7
0,3,8
0,3,9
0,3,10
0,3,11
0,3,12
0,3,13
0,3,14
0,3,15
0,3,16
0,3,17
0,3,18
0,3,19
0,4,0
0,4,1
0,4,2
0,4,3
0,4,4
0,4,5
0,4,6
0,4,7
0,4,8
0,4,9
0,4,10
0,4,11
0,4,12
0,4,13
0,4,14
0,4,15
0,4,16
0,4,17
0,4,18
0,4,19
0,5,0
0,5,1
0,5,2
0,5,3
0,5,4
0,5,5
0,5,6
0,5,7
0,5,8
0,5,9
0,5,10
0,5,11
0,5,12
0,5,13
0,5,14
0,5,15
0,5,16
0,5,17
0,5,18
0,5,19
0,6,0
0,6,1
0,6,2
0,6,3
0,6,4
0,6,5
0,6,6
0,6,7
0,6,8
0,6,9
0,6,10
0,6,11
0,6,12
0,6,13
0,6,14
0,6,15
0,6,16
0,6,17
0,6,18
0,6,19
0,7,0
0,7,1
0,7,2
0,7,3
0,7,4
0,7,5
0,7,6
0,7,7
0,7,8
0,7,9
0,7,10
0,7,11
0,7,12
0,7,13
0,7,14
0,7,15
0,7,16
0,7,17
0,7,18
0,7,19
0,8,0
0,8,1
0,8,2
0,8,3
0,8,4
0,8,5
0,8,6
0,8,7
0,8,8
0,8,9
0,8,10
0,8,11
0,8,12
0,8,13
0,8,14
0,8,15
0,8,16
0,8,17
0,8,18
0,8,19
0,9,0
0,9,1
0,9,2
0,9,3
0,9,4
0,9,5
0,9,6
0,9,7
0,9,8
0,9,9
0,9,10
0,9,11
0,9,12
0,9,13
0,9,14
0,9,15
0,9,16
0,9,17
0,9,18
0,9,19
0,10,0
0,10,1
0,10,2
0,10,3
0,10,4
0,10,5
0,10,6
0,10,7
0,10,8
0,10,9
0,10,10
0,10,11
0,10,12
0,10,13
0,10,14
0,10,15
0,10,16
0,10,17
0,10,18
0,10,19
0,11,0
0,11,1
0,11,2
0,11,3
0,11,4
0,11,5
0,11,6
0,11,7
0,11,8
0,11,9
0,11,10
0,11,11
0,11,12
0,11,13
0,11,14
0,11,15
0,11,16
0,11,17
0,11,18
0,11,19
0,12,0
0,12,1
0,12,2
0,12,3
0,12,4
0,12,5
0,12,6
0,12,7
0,12,8
0,12,9
0,12,10
0,12,11
0,12,12
0,12,13
0,12,14
0,12,15
0,12,16
0,12,17
0,12,18
0,12,19
0,13,0
0,13,1
0,13,2
0,13,3
0,13,4
0,13,5
0,13,6
0,13,7
0,13,8
0,13,9
0,13,10
0,13,11
0,13,12
0,13,13
0,13,14
0,13,15
0,13,16
0,13,17
0,13,18
0,13,19
0,14,0
0,14,1
0,14,2
0,14,3
0,14,4
0,14,5
0,14,6
0,14,7
0,14,8
0,14,9
0,14,10
0,14,11
0,14,12
0,14,13
0,14,14
0,14,15
0,14,16
0,14,17
0,14,18
0,14,19
0,15,0
0,15,1
0,15,2
0,15,3
0,15,4
0,15,5
0,15,6
0,15,7
0,15,8
0,15,9
0,15,10
0,15,11
0,15,12
0,15,13
0,15,14
0,15,15
0,15,16
0,15,17
0,15,18
0,15,19
0,16,0
0,16,1
0,16,2
0,16,3
0,16,4
0,16,5
0,16,6
0,16,7
0,16,8
0,16,9
0,16,10
0,16,11
0,16,12
0,16,13
0,16,14
0,16,15
0,16,16
0,16,17
0,16,18
0,16,19
0,17,0
0,17,1
0,17,2
0,17,3
0,17,4
0,17,5
0,17,6
0,17,7
0,17,8
0,17,9
0,17,10
0,17,11
0,17,12
0,17,13
0,17,14
0,17,15
0,17,16
0,17,17
0,17,18
0,17,19
0,18,0
0,18,1
0,18,2
0,18,3
0,18,4
0,18,5
0,18,6
0,18,7
0,18,8
0,18,9
0,18,10
0,18,11
0,18,12
0,18,13
0,18,14
0,18,15
0,18,16
0,18,17
0,18,18
0,18,19
0,19,0
0,19,1
0,19,2
0,19,3
0,19,4
0,19,5
0,19,6
0,19,7
0,19,8
0,19,9
0,19,10
0,19,11
0,19,12
0,19,13
0,19,14
0,19,15
0,19,16
0,19,17
0,19,18
0,19,19
1,25,0
1,25,1
1,25,2
1,25,3
1,25,4
1,25,5
1,25,6
1,25,7
1,25,8
1,25,9
1,25,10
1,25,11
1,25,12
1,25,13
1,25,14
1,25,15
1,25,16
1,25,17
1,25,18
1,25,19
1,26,0
1,26,1
1,26,2
1,26,3
1,26,4
1,26,5
1,26,6
1,26,7
1,26,8
1,26,9
1,26,10
1,26,11
1,26,12
1,26,13
1,26,14
1,26,15
1,26,16
1,26,17
1,26,18
1,26,19
1,27,0
1,27,1
1,27,2
1,27,3
1,27,4
1,27,5
1,27,6
1,27,7
1,27,8
1,27,9
1,27,10
1,27,11
1,27,12
1,27,13
1,27,14
1,27,15
1,27,16
1,27,17
1,27,18
1,27,19
1,28,0
1,28,1
1,28,2
1,28,3
1,28,4
1,28,5
1,28,6
1,28,7
1,28,8
1,28,9
1,28,10
1,28,11
1,28,12
1,28,13
1,28,14
1,28,15
1,28,16
1,28,17
1,28,18
1,28,19
1,29,0
1,29,1
1,29,2
1,29,3
1,29,4
1,29,5
1,29,6
1,29,7
1,29,8
1,29,9
1,29,10
1,29,11
1,29,12
1,29,13
1,29,14
1,29,15
1,29,16
1,29,17
1,29,18
1,29,19
1,30,0
1,30,1
1,30,2
1,30,3
1,30,4
1,30,5
1,30,6
1,30,7
1,30,8
1,30,9
1,30,10
1,30,11
1,30,12
1,30,13
1,30,14
1,30,15
1,30,16
1,30,17
1,30,18
1,30,19
1,31,0
1,31,1
1,31,2
1,31,3
1,31,4
1,31,5
1,31,6
1,31,7
1,31,8
1,31,9
1,31,10
1,31,11
1,31,12
1,31,13
1,31,14
1,31,15
1,31,16
1,31,17
1,31,18
1,31,19
1,32,0
1,32,1
1,32,2
1,32,3
1,32,4
1,32,5
1,32,6
1,32,7
1,32,8
1,32,9
1,32,10
1,32,11
1,32,12
1,32,13
1,32,14
1,32,15
1,32,16
1,32,17
1,32,18
1,32,19
1,33,0
1,33,1
1,33,2
1,33,3
1,33,4
1,33,5
1,33,6
1,33,7
1,33,8
1,33,9
1,33,10
1,33,11
1,33,12
1,33,13
1,33,14
1,33,15
1,33,16
1,33,17
1,33,18
1,33,19
1,34,0
1,34,1
1,34,2
1,34,3
1,34,4
1,34,5
1,34,6
1,34,7
1,34,8
1,34,9
1,34,10
1,34,11
1,34,12
1,34,13
1,34,14
1,34,15
1,34,16
1,34,17
1,34,18
1,34,19
1,35,0
1,35,1
1,35,2
1,35,3
1,35,4
1,35,5
1,35,6
1,35,7
1,35,8
1,35,9
1,35,10
1,35,11
1,35,12
1,35,13
1,35,14
1,35,15
1,35,16
1,35,17
1,35,18
1,35,19
1,36,0
1,36,1
1,36,2
1,36,3
1,36,4
1,36,5
1,36,6
1,36,7
1,36,8
1,36,9
1,36,10
1,36,11
1,36,12
1,36,13
1,36,14
1,36,15
1,36,16
1,36,17
1,36,18
1,36,19
1,37,0
1,37,1
1,37,2
1,37,3
1,37,4
1,37,5
1,37,6
1,37,7
1,37,8
1,37,9
1,37,10
1,37,11
1,37,12
1,37,13
1,37,14
1,37,15
1,37,16
1,37,17
1,37,18
1,37,19
1,38,0
1,38,1
1,38,2
1,38,3
1,38,4
1,38,5
1,38,6
1,38,7
1,38,8
1,38,9
1,38,10
1,38,11
1,38,12
1,38,13
1,38,14
1,38,15
1,38,16
1,38,17
1,38,18
1,38,19
1,39,0
1,39,1
1,39,2
1,39,3
1,39,4
1,39,5
1,39,6
1,39,7
1,39,8
1,39,9
1,39,10
1,39,11
1,39,12
1,39,13
1,39,14
1,39,15
1,39,16
1,39,17
1,39,18
1,39,19
1,40,0
1,40,1
1,40,2
1,40,3
1,40,4
1,40,5
1,40,6
1,40,7
1,40,8
1,40,9
1,40,10
1,40,11
1,40,12
1,40,13
1,40,14
1,40,15
1,40,16
1,40,17
1,40,18
1,40,19
1,41,0
1,41,1
1,41,2
1,41,3
1,41,4
1,41,5
1,41,6
1,41,7
1,41,8
1,41,9
1,41,10
1,41,11
1,41,12
1,41,13
1,41,14
1,41,15
1,41,16
1,41,17
1,41,18
1,41,19
1,42,0
1,42,1
1,42,2
1,42,3
1,42,4
1,42,5
1,42,6
1,42,7
1,42,8
1,42,9
1,42,10
1,42,11
1,42,12
1,42,13
1,42,14
1,42,15
1,42,16
1,42,17
1,42,18
1,42,19
1,43,0
1,43,1
1,43,2
1,43,3
1,43,4
1,43,5
1,43,6
1,43,7
1,43,8
1,43,9
1,43,10
1,43,11
1,43,12
1,43,13
1,43,14
1,43,15
1,43,16
1,43,17
1,43,18
1,43,19
1,44,0
1,44,1
1,44,2
1,44,3
1,44,4
1,44,5
1,44,6
1,44,7
1,44,8
1,44,9
1,44,10
1,44,11
1,44,12
1,44,13
1,44,14
1,44,15
1,44,16
1,44,17
1,44,18
1,44,19
2,50,0
2,50,1
2,50,2
2,50,3
2,50,4
2,50,5
2,50,6
2,50,7
2,50,8
2,50,9
2,50,10
2,50,11
2,50,12
2,50,13
2,50,14
2,50,15
2,50,16
2,50,17
2,50,18
2,50,19
2,51,0
2,51,1
2,51,2
2,51,3
2,51,4
2,51,5
2,51,6
2,51,7
2,51,8
2,51,9
2,51,10
2,51,11
2,51,12
2,51,13
2,51,14
2,51,15
2,51,16
2,51,17
2,51,18
2,51,19
2,52,0
2,52,1
2,52,2
2,52,3
2,52,4
2,52,5
2,52,6
2,52,7
2,52,8
2,52,9
2,52,10
2,52,11
2,52,12
2,52,13
2,52,14
2,52,15
2,52,16
2,52,17
2,52,18
2,52,19
2,53,0
2,53,1
2,53,2
2,53,3
2,53,4
2,53,5
