,0,1,2,3,4,5,6,7,8,9,10,11
0,0.500,0.500,0.600,0.600,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
1,0.500,0.500,0.600,0.600,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2,0.500,0.500,0.500,0.600,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
3,0.500,0.500,0.600,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
4,0.500,0.500,0.600,0.600,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
5,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.600,0.600,0.500,0.500,0.500
6,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.600,0.600,0.500,0.500,0.500
7,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.600,0.500,0.500,0.500
8,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.600,0.500,0.500,0.500,0.500
9,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.600,0.600,0.500,0.500,0.500
10,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
11,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
